Timestamp,Layer,Event,Identifier,Size(Bytes),Details
2026-03-08 03:22:27.134,API,JobCreated,Job 00052,870,"None"
2026-03-08 03:22:27.135,API,JobCreated,Job 00053,307,"None"
2026-03-08 03:22:27.135,API,JobCreated,Job 00054,142,"None"
2026-03-08 03:23:08.967,FS,FileCreated,00055.SPL,126,"Triggered safe read attempt"
2026-03-08 03:23:08.969,FS,ReadSuccess,00055.SPL,126,"Saved to 032308_968_00055.SPL"
2026-03-08 03:23:08.970,FS,FileChanged,00055.SPL,126,"Triggered safe read attempt"
2026-03-08 03:23:08.971,FS,ReadSuccess,00055.SPL,126,"Saved to 032308_970_00055.SPL"
2026-03-08 03:23:09.058,API,JobCreated,Job 00055,126,"None"
2026-03-08 03:23:28.816,FS,FileCreated,00056.SPL,0,"Triggered safe read attempt"
2026-03-08 03:23:28.817,FS,FileChanged,00056.SPL,307,"Triggered safe read attempt"
2026-03-08 03:23:28.818,FS,ReadSuccess,00056.SPL,307,"Saved to 032328_817_00056.SPL"
2026-03-08 03:23:29.007,API,JobCreated,Job 00056,307,"None"
2026-03-08 03:23:30.548,FS,FileCreated,00057.SPL,0,"Triggered safe read attempt"
2026-03-08 03:23:30.549,FS,FileChanged,00057.SPL,870,"Triggered safe read attempt"
2026-03-08 03:23:30.550,FS,ReadSuccess,00057.SPL,870,"Saved to 032330_550_00057.SPL"
2026-03-08 03:23:30.662,API,JobCreated,Job 00057,870,"None"
2026-03-08 15:15:40.902,API,JobCreated,Job 00002,81564,"Printing, Retained"
2026-03-08 15:15:40.906,API,JobCreated,Job 00003,272004,"None"
2026-03-08 15:15:40.907,API,JobCreated,Job 00041,272004,"None"
2026-03-08 15:15:40.909,API,JobCreated,Job 00042,272004,"None"
2026-03-08 15:15:40.910,API,JobCreated,Job 00043,272004,"None"
2026-03-08 15:15:40.911,API,JobCreated,Job 00044,272004,"None"
2026-03-08 15:15:40.911,API,JobCreated,Job 00045,931,"None"
2026-03-08 15:15:40.912,API,JobCreated,Job 00046,931,"None"
2026-03-08 15:15:40.913,API,JobCreated,Job 00047,931,"None"
2026-03-08 15:15:40.914,API,JobCreated,Job 00048,931,"None"
2026-03-08 15:15:40.915,API,JobCreated,Job 00049,931,"None"
2026-03-08 15:15:40.916,API,JobCreated,Job 00050,142,"None"
2026-03-08 15:15:40.917,API,JobCreated,Job 00051,126,"None"
2026-03-08 15:15:40.918,API,JobCreated,Job 00052,870,"None"
2026-03-08 15:15:40.919,API,JobCreated,Job 00053,307,"None"
2026-03-08 15:15:40.920,API,JobCreated,Job 00054,142,"None"
2026-03-08 15:15:40.922,API,JobCreated,Job 00055,126,"None"
2026-03-08 15:15:40.922,API,JobCreated,Job 00056,307,"None"
2026-03-08 15:15:40.923,API,JobCreated,Job 00057,870,"None"
2026-03-08 15:15:40.924,API,JobCreated,Job 00058,870,"None"
2026-03-08 15:16:04.969,FS,FileCreated,00059.SPL,307,"Triggered safe read attempt"
2026-03-08 15:16:04.973,FS,ReadSuccess,00059.SPL,307,"Saved to 151604_971_00059.SPL"
2026-03-08 15:16:04.975,FS,FileChanged,00059.SPL,307,"Triggered safe read attempt"
2026-03-08 15:16:04.977,FS,ReadSuccess,00059.SPL,307,"Saved to 151604_976_00059.SPL"
2026-03-08 15:16:05.028,API,JobCreated,Job 00059,307,"None"
